,Fp1 - F7,F7 - T3,T3 - T5,T5 - O1,Fp2 - F8,F8 - T4,T4 - T6,T6 - O2,Fp1 - F3,F3 - C3,C3 - P3,P3 - O1,Fp2 - F4,F4 - C4,C4 - P4,P4 - O2,Fz - Cz,Cz - Pz
0,24.98132307198183,11.764816609481182,-3.0499898613627634,-20.99142715095559,-32.69719637266551,-25.615286492304758,-5.2210326510166265,5.152076290442918,-5.49468886016736,-19.05966406938376,-14.931834550227391,-1.2883418098810502,-1.0773435882335753,-14.742567069875367,-20.870119316256492,-13.709320076907153,-14.29405370036721,-35.23780209303558
1,27.830209939382307,12.266578323113922,-3.6965805732986645,-21.93872724629472,-33.754755663710355,-26.38819649237441,-4.997826173578413,6.458860319767507,-3.8745689107815497,-17.789630182019835,-14.091017407979917,-1.0462059357202427,-1.8638166538321206,-16.18672014981268,-21.556378598671266,-13.056832430782842,-14.093239214890067,-38.01038421246509
2,27.87971002096029,11.428493940244621,-4.706568102507346,-22.7581274292795,-34.50979448353243,-26.90247893218295,-4.815888263333514,7.106252685663626,-3.728593178501657,-18.545803561927745,-14.958881680156098,-1.2045677837516993,-1.6160698123571489,-16.373002125699518,-22.382685982078474,-14.30263028032405,-16.13101431529489,-41.674480443069484
3,24.6186452776271,10.84699081755453,-3.698261266273296,-21.52840807875022,-33.88945469898566,-27.008622528667477,-5.5136700090620225,5.926524391478618,-4.988222105632424,-19.05125259024011,-14.195575018932164,0.18995415997417273,-0.9319694661908949,-17.03877304679763,-23.82022047701076,-15.783971588331008,-17.84571171928676,-44.28910514179015
4,24.39389504670464,11.085619068850765,-3.3643178835771437,-21.83019718748751,-35.39939672214717,-29.32719770331837,-7.367581920109374,5.468770161646128,-4.374270255036351,-18.400441080697174,-14.005219335804933,0.27375060227230275,-0.6614021887643984,-17.125233721566936,-25.17554449082094,-18.57295585672662,-21.201533971944222,-47.28412017785542
5,23.468395590808335,11.318070782372141,-2.81136939522375,-22.029991785453984,-36.79001608307989,-31.386646506256795,-9.111496908405966,4.717248670757276,-4.161408856404924,-17.839662489204173,-13.859200496876374,-0.36593311939122913,-1.7725028948206942,-18.019991356763608,-25.61349261781624,-19.39595428648549,-24.105741755781075,-53.75684243597875
6,23.092458390021118,11.150926503875189,-3.6681986549311705,-24.049724176875454,-39.19801826316819,-33.02717495281291,-9.657348955736333,4.848979525959593,-3.669414982990075,-17.174811862933275,-13.761633300452642,-1.91918618716757,-4.996118735865813,-21.168842065367027,-26.6609786084759,-18.3446034512978,-23.348671194311287,-55.78100037865809
7,21.955468892317995,11.176364806695195,-4.502400202529426,-26.800376714677252,-42.242051318049306,-34.222370655613666,-9.21268492790434,4.9018382031211365,-4.91288046402267,-18.518726168530577,-14.124797760044467,-2.1520229038820884,-6.4679197868923435,-23.315237673280148,-27.41609984304966,-17.21962734456955,-22.870610646520646,-58.95350640123442
8,23.30519635367522,11.221304351192208,-5.0351789915959895,-27.268647598193027,-42.425484603868206,-34.16901320356652,-9.196336496862148,4.410863073686986,-6.025325564534003,-19.483809826171182,-13.954755381301473,-1.0095839374940163,-5.714806157646304,-23.830842350797894,-28.515471051671245,-17.822805856919842,-23.136120987793436,-59.83512902240088
9,23.668067419065558,9.591071377234869,-6.870049052658276,-27.904782569062984,-42.25825587895302,-34.33238379484659,-9.81941925076119,4.12471929148378,-5.812831106919707,-19.797013122087026,-15.622487226708735,-3.3080641752321682,-7.020153632327477,-23.47715915211688,-27.45282899825146,-17.420321699877345,-23.934045699628257,-61.74640441854186
